Número atômico;Símbolo;1-Grupo;2-Grupo antigo;3-Período;4-Nome;6-Massa atômica
109;Mt;9;VIII B;7;Meitnério;276
110;Ds;10;VIII B;7;Darmstácio;281
111;Rg;11;I B;7;Roentgęnio;280
112;Cn;12;II B;7;Copernício;285
113;Nh;13;III A;7;Niônio;284
114;Fl;14;IV A;7;Fleróvio;289
115;Mc;15;V A;7;Moscóvio;288
116;Lv;16;VI A;7;Livermório;293
117;Ts;17;VII A;7;Tenessínio;292
118;Og;18;VIII A;7;Oganessônio;294

